FIRST,LAST,Nation
Sarah,HAY,NZL
Justine,MCCARNEY,CAN
YUYA,KITAE,JPN
Masahiro,HIGUCHI,JPN
Kaito,WATANABE,JPN
Ryohei,KAMEYAMA,JPN
Ryosuke,HIBINO,JPN
Makoto,YAMAUCHI,JPN
Tsukuru,HORI,JPN
Liam,HEALY,AUS
Samuel,BOWMAN,AUS
Alistair,EARLEY,AUS
Asher Gavin,CHIAM KAI CHEN,SGP
Elias,EDVARDSEN,DEN
Yuki,NAJIMA,JPN
Sergei,BYDTAEV,RUS
Rafal,HALASA,POL
Amelie,KÜHNE,GER
Jana,SANIN,ITA
Natalie,ABLINGER,AUT
Isabelle,VAN DER HEIJDEN,NED
Käthe,ATKINS,GER
Mette,VAN LIEMPD,NED
Lena,LOSINSKYJ,AUT
Eliška,HOBZOVÁ,CZE
Edith,SAVENIJE,NED
Amber,SCHIFFELEERS,NED
Lies,VAN RAAIJ,NED
Lynn,VAN DER MEER,NED
Lukas,AMPLATZ,ITA
Mauro,NAROSKA,GER
Hampus,CALMERÅS,SWE
Gustaf,SONESSON,SWE
Tycho,VAN DER STRAATEN,NED
Elias,SANIN,ITA
Benjamin,HAIDACHER,AUT
Niccolò,DITOMMASO,ITA
Ido,ILOUS,ISR
Léo,FERRERA,FRA
Enrico,MOSCONI,ITA
Benjamin,PRESTON,GBR
Joseph,CZUBKOWSKI,GBR
Gidion,VAN DOORN,NED
Zeno,SCHAEKERS,NED
Alla,MARENYCH,UKR
Edyta,ROPEK,POL
Hongil,KIM,KOR
Donghyeon,KIM,KOR
Alessandro,SANTONI,ITA
Rustam,GELMANOV,RUS
Seungwoon,CHO,KOR
Keiichiro,KORENAGA,JPN
Tyler,FLEURY,NZL
Leonardo,GONTERO,ITA
Kye,WOTTON,CAN
Lisa,MOSER,ITA
Alba,PELFORT VENTURA,ESP
Ana,GUCHKO,POR
Mia,BURNS,IRL
Martina,DE PRETO,ITA
Noé,MOUTAULT,FRA
Michele,BONO,ITA
Jonas,UTELLI,SUI
Jan,KROSZKA,POL
Annalisa,TOGNON,SUI
Chiara,SCHAFFERER,AUT
Alexandra,GULLBERG,SWE
Ingrid,WINGARDH,SWE
Matylda,MALEC,POL
Melissa,BERNHARD,SUI
Kitty,MORRISON,GBR
Helen,DANCO,GER
Lydia,FILIPSSON,SWE
Laura,LOIKAS,FIN
Simona,PROKESOVA,CZE
Alina,BENAZZI,ITA
Sofie,ASTERLING,SWE
Ariana Maria,DUDAU,ROU
Heta,MATTILA,FIN
Katharina,TOGNON,SUI
Dina,BOLANDER,SWE
Olivia,MARSELLA BARBERIO,ESP
Kimo,FILIP,AUT
Davide,CAPPERUCCI,ITA
Arne,FARESTVEIT,NOR
Anton,YAKUBENKO,SWE
Bartlomiej,PODLEWSKI,POL
Maximilian,LENZ,AUT
Grega,VERBUC,SLO
Piotr,SALACH,POL
Kilian,COP,SLO
Alois,REMUND,SUI
Luca,BERTACCO,ITA
Felix Ståhl,WADSTEN,SWE
Christian Phillip,ELIASSEN,NOR
Katharina,POSCH,AUT
Hannah,SCHUBERT,AUT
Rebekka,STOTZ,SUI
Ekaterina,NOVITSKAIA,RUS
Mariia,MUSIENKO,RUS
Mie (Marie Therese),KASTET,NOR
Olga,KUSHCH,RUS
Dinara,FAKHRITDINOVA,RUS
Fatemeh,JAFARI MAHMODABADI,IRI
Nataliia,STEPANOVA,RUS
Kseniya,KOPUSAVA,BLR
Daria,TITKINA,BLR
Bahareh,BADRABADI,IRI
Hadis,NAZARIROBATI,IRI
Valeriia,DERIABINA,RUS
Nicolas,PELORSON,FRA
Vlas,GAVRILOV,RUS
Oleg,POKUSAYEV,UKR
Artem,PETRAKOV,RUS
Jules,NICOULEAU BOURLES,FRA
Anton,SVIRIDOV,RUS
Jurijs,KRASANOVS,LAT
Oleg,PEYSAKHOVICH,RUS
Arman,TER-MINASYAN,RUS
Yury,TAKZHANOV,RUS
Orrin,COLEY,GBR
Dmitrii,POPOV,RUS
Will,JOHNSON,CAN
Vasily,KOZLOV,RUS
Nikolai,MOROZOV,RUS
Artem,PAUKAIEV,UKR
Vladislav,SHEVCHENKO,RUS
Maja,JONJIC ARNAUTOVIC,ESP
Tove,WÅHLIN,SWE
Franz,KRAKENBERGER,SUI
Marco,MÜLLER,SUI
Christoph,HANKE,GER
Hristo,ALTANCHEV,BUL
Ricardo,COIMBRA,POR
Manuel Filipe,CARVALHO,POR
Fitria,HARTANI,INA
Wei Sze Felicia,LIM,SGP
Pui-yim,LAU,HKG
Wai-mui,LING,HKG
Sungjoon,CHAE,KOR
Anam,KHOIRUL,INA
Cahya,ANGGA,INA
Aviansyah,AAN,INA
Ashraf,MOHAMMAD SAPRI,SGP
Huda Wardana,AKBAR,INA
Moch,SALIM,INA
Brandon,GRAGEDA,PHI
Paul Eli,SUSON,PHI
Ming-ho,LI,HKG
