FIRST,LAST,Nation
Giulia,MEDICI,ITA
Jennifer,WOOD,GBR
Sunniva Eik,HAAVE,NOR
Andrea,EBNER,ITA
Ida,KUPS,POL
Margaryta,ZAKHAROVA,UKR
Elena,VERETENNIKOVA,BLR
Agniete,SEIBOKAITE,LTU
Bianka,JANECKA,POL
Veronika,SCHEUEROVA,CZE
Natalia,KALUCKA,POL
Aleksandra,KALUCKA,POL
Yevheniia,CHERNIAVSKA,UKR
Malgorzata,RUDZINSKA,POL
Mickael,MAWEM,FRA
Sergei,SKORODUMOV,RUS
Vadim,TIMONOV,RUS
William,RIDAL,GBR
Jeremy,BONDER,FRA
Piotr,SCHAB,POL
Nathan,PHILLIPS,GBR
Max,PRINZ,GER
Leo,AVEZOU,FRA
Nimrod,MARCUS,ISR
Martin,STRANIK,CZE
Alex,KHAZANOV,ISR
Florian,KLINGLER,AUT
Stefan,SCARPERI,ITA
Rolands,RUGENS,LAT
Arthur,TERNANT,FRA
Alfons,DORNAUER,AUT
Sergii,TOPISHKO,UKR
Rolf Fredrik,SERLACHIUS,SWE
Aleksey,RUBTSOV,RUS
Matthias,ERBER,AUT
Max,KLEESATTEL,GER
Adrian,CHMIALA,POL
Jan-Luca,POSCH,AUT
Tamás,FARKAS,HUN
Elias,IAGNEMMA,ITA
Fedir,SAMOILOV,UKR
Philipp,MARTIN,GER
Ádám,BAKURECZ,HUN
Matic,KOTAR,SLO
Stepan,VOLF,CZE
Joris,LEIPUS,LTU
Don,VAN LAERE,NED
Maksim,NIKIFARAVETS,BLR
Evgenii,ZAZULIN,RUS
Kipras,BALTRUNAS,LTU
Carmel,RAZ ROMEO,ISR
Stefan,BEDNAR,SVK
Maciej,DOBRZANSKI,POL
Ignas,KISIELIUS,LTU
Milos,NEMY,SVK
Ionut-Cosmin,ATOMEI,ROU
Arkadiusz,MILLAN,POL
Germanis,KLAVS,LAT
Stepan,STRANIK,CZE
Luce,DOUADY,FRA
Natsumi,HIRANO,JPN
Saki,KIKUCHI,JPN
Hana,KUDO,JPN
Emily,PHILLIPS,GBR
Sienna,KOPF,USA
Paige,BOKLASCHUK,CAN
Sarah Kate,ASHTON,USA
Jessica,FECANIN,SVK
Quinn,MASON,USA
Riley,GALLOWAY,CAN
HYEWON,JOO,KOR
Hannah,SMITH,GBR
Erin,STERKENBURG,RSA
Maria,BENACH ZUBERO,ESP
Indiana,CHAPMAN,CAN
Seoyeon,PARK,KOR
Réka,SÁNDOR,HUN
leah,JEFFRIES,AUS
Jordyn,DAMASCO,AUS
Athanasia,LIOUNI,GRE
Ignacia,MELLADO QUINTEROS,CHI
Aleksandra,SCERBINA,LTU
Jacinth,LAPIN,RSA
Yena,PI,KOR
Eszter,RIESING,HUN
Lucie,DELCOIGNE,BEL
Phoebe,KENDERDINE,NZL
Ella,EASTON,AUS
Tua,JACOBSSON,SWE
Tayla,MANNING,NZL
Shreya Sanjay Nankar,NANKAR,IND
Ritika,RAWAT,IND
Blanka,RUBINT,HUN
Regina,SALAZAR PUGA,MEX
Clara,BLOM-DANDOY,SWE
Iasmin,DE QUEIROZ FREITAS,BRA
Georgiana,DORWARD,RSA
Asal,ISLAMOVA,UZB
Emilie,TIRADO,ECU
Adeliya,UTESHEVA,KAZ
Ariana,VAN LITH,NZL
Ryu,NAKAGAWA,JPN
Hana,KOIKE,JPN
Angie,SCARTH-JOHNSON,AUS
Campbell,SARINOPOULOS,USA
Sana,OGURA,JPN
GENEVIEVE,DENNIS,USA
Heeju,NOH,KOR
Ellisa,ANDRES,AUS
Lucija,BRKIĆ,CRO
Marina,KUSHANINA,RUS
Mira,CAPICCHIONI,USA
Emi,TAKASHIBA,CAN
Carmen,CONTRERAS,CHI
Marie,SCHÖPFER,AUT
Nalat,DISYABUT,THA
SYDNEY,PARK,CAN
Bar,SNIR,ISR
Maria,FISEYSKAYA,RUS
Nattcha,RAVIWONGSE,THA
TULA,SHERKAT,CAN
Abby,GEBERT,NZL
Rauen,KROHN,RSA
Kateryna,PEDKO,UKR
Napat,DISYABUT,THA
Daniela,PARADELA GUERRERO,MEX
Beatriz,ROSAS,CHI
Anastasiia,SKIDAN,UKR
Anisha,VARMA,IND
Ashley,BROOKS,AUS
Dorota,BULANDOVA,SVK
Caitlyn,BURWOOD,RSA
Sohha Ninad,DIWAN,IND
Olga,EXAKOIDI,GRE
Ariadna,HERRANZ GONZÁLEZ,ESP
Lara,KMOCH,CRO
Rachael,KUHN,RSA
Imgyeong,LEE,KOR
Valeria,MARTÍNEZ CUEVAS,MEX
Zuzanna,MIENTUS,POL
Maria,NEDELCHEVA,BUL
Zoi,PALTATSIDOU,GRE
Dasom,YUN,KOR
Dayana,CORREA,ECU
ADLIYAH BAIQUNI,EGALITA,INA
Camila,GONZALEZ,CHI
YELIZAVETA,LITUS,KAZ
Elise,MANNERSTRÅLE,SWE
ALINA,PONOMARYOVA,KAZ
Roberta,PORTALES TAMAYO,MEX
Alia,ROBINSON,NZL
Niki,SAKKA,GRE
Saniya,SHEIKH,IND
Joy,WILLIAMS,NZL
Laura,ROGORA,ITA
Natalia,GROSSMAN,USA
Cloe,COSCOY,USA
Valentina,AGUADO,ARG
Anastasiia,EVGENEVA,RUS
Bronwen,KARNIS,CAN
Gwyneth,UTTLEY,GBR
Sophie,BUITENDYK,CAN
Hannah,MEUL,GER
Mao,NAKAMURA,JPN
Naama,YOHAI,ISR
Alejandra,CONTRERAS,CHI
Sara,MORANDINI,ITA
Mimu,KUROOKA,JPN
Ariana,MATHEWS,USA
Rut,CASAS MUR,ESP
Olimpia,ARIANI,ITA
Zoe,PEETERMANS,GBR
Yuka,HIGUCHI,JPN
Freja,DUNCAN,SWE
Yelyzaveta,LAVRYKOVA,UKR
Dagyeong,HAN,KOR
Annabelle,CLEARY,AUS
Beatrix,EVANS,CAN
Sarah,TETZLAFF,NZL
Tseng-shun,WONG,HKG
Anastasiia,FESENKO,UKR
Tereza,KUBATOVA,CZE
Hyeonsu,KIM,KOR
Hyejun,KIM,KOR
Shilpa,CHARAK,IND
Camilla,CIBULKA,RSA
Kim,FORDE,NZL
María Fernanda,HIDALGO AMEZQUITA,MEX
Milena,KROHN,RSA
VALERIYA,LANKOVA,KAZ
Abby,MANNING,AUS
Sophia,OSIPOVA,NZL
Mia Stöver,WOLLEBAEK,NOR
Ao,YURIKUSA,JPN
Hamish,MCARTHUR,GBR
Hajime,TAKEDA,JPN
Rei,KAWAMATA,JPN
Taiga,SAKAMOTO,JPN
Nathaniel,SURMA,USA
Thomas,PODOLAN,AUT
Zander,WALLER,USA
Wonwoo,HAN,KOR
Davide Marco,COLOMBO,ITA
Johannes,HOFHERR,AUT
Guy,MCNAMEE,CAN
Jarrell,SOH JIT KAI,SGP
Luke,GOH WEN BIN,SGP
Benjamin,NEWMAN,CAN
Hlib,SUKHOVOI,UKR
Jordan,FISHMAN,USA
Anej,BATAGELJ,SLO
Lasse,VON FREIER,GER
Brennan,DOYLE,CAN
Roman,SIVAKOV,LTU
Sangram,MALIK,IND
Leonardo,MAGALLANES TEJADA,MEX
Jeonghoe,KIM,KOR
Dario,JOST,SUI
Alistair,STUBBS,RSA
Diego Eugenio,ZUÑIGA GONZÁLEZ,MEX
Jared,RODRIGUES,RSA
Maxim,PARE,AUS
Matthew,JONES,NZL
Sumin,LEE,KOR
Aphiwit,LIMPANICHPAKDEE,THA
John-Philip,NOEL-BAKER,GRE
Daniel,SMITH,GBR
Matthew,GRUNEWALD,RSA
Emmanouil,MAVROMATIS,GRE
Mathias,RASK JUNKER,DEN
Mateus,BELLOTTO,BRA
Matus,VALEK,SVK
Christian,WAGNER,CHI
Benjamin,AGUADO DEJEAS,CHI
Milosz,BUJAK,POL
Modestas,KLIMAVICIUS,LTU
Beknur,ALTYNBEKOV,KAZ
Poksakon,CHOTIKKRAI,THA
Ameya,LAMBAT,IND
Aaron,MATTES,AUS
Jair Octavio,MORENO MONTOYA,MEX
Mykhailo,DRACHENKO,UKR
ILDAR,MUKHAMADEYEV,KAZ
Rutoo Rahul,PENDSE,IND
Mark,ROGALEV,UZB
Nichol,TOMAS,THA
Junta,SEKIGUCHI,JPN
Oscar,BAUDRAND,CAN
Adam,ADAMOVSKY,CZE
Oliver,KUANG,USA
Satone,YOSHIDA,JPN
Illia,BAKHMET-SMOLENSKYI,UKR
Brian,SQUIRE,USA
Haruki,UEMURA,JPN
Joseph,XIBERRAS,GBR
Leander,CARMANNS,GER
Reece,CHAPMAN,USA
Joshua,MENNELL,AUS
Oskar,WOLFF,NZL
Dylan,LE,CAN
Ondrej,MAZL,CZE
Jim,ZEIMES,LUX
Vin,SUKAPANPOTHARAM,THA
Aman,VARMA,IND
Paolo,RIVADENEIRA,ECU
Leo,SKINNER,GBR
Joanes,ESPARTA FRADE,ESP
TJ,FOLEY,CAN
Hryhorii,ILCHYSHYN,UKR
jose tomas,LEDESMA,CHI
Leyroy,HARLEY,AUS
Dohyeon,KIM,KOR
Juho,KIM,KOR
Taeyun,KIM,KOR
Elliot,ERIKSSON,SWE
Joaquin,URRUTIA,CHI
Mikel,PAZ Y PUENTE HOFMANN,MEX
Lukas,ZGRAGGEN,SUI
Dimitrios,KALLIKAS,GRE
YEVGENIY,BRYAKIN,KAZ
Jack,BURNINGHAM,RSA
Rafael,ESCARRAGA LOPEZ,MEX
Jakhongir,KHASANOV,UZB
Jordan,NIGHTINGALE,RSA
Nicholas,GIANNONE,RSA
Magnus Silas Hjorth,SIERSLEV,DEN
ZHUSSIP,SEITOV,KAZ
Sohta,AMAGASA,JPN
Katsura,KONISHI,JPN
Shuta,TANAKA,JPN
Sam,AVEZOU,FRA
Zach,RICHARDSON,CAN
Pierre,LE CERF,FRA
Nikolai,MICHUROV,RUS
Sam,LAVENDER,AUS
Sam,MCQUEEN,USA
Suraj,SINGH,IND
Galo,HERNANDEZ,ECU
Seto,SETO,INA
Elijah,KISER,USA
John,BROCK,USA
Mark,CHAN CHONG KIAT,SGP
Finn,BATTERSBY,CAN
Leonid,OSADCHYI,UKR
Aiden,DUNNE,GBR
Klemen,NOVAK,SLO
Stoyan,PETROV,BUL
Andoni,ESPARTA FRADE,ESP
Sean,FAULKNER,CAN
Jesse,RUFFINI,AUS
Seongmin,EOM,KOR
Emilio,RIOS,CHI
Thomas,WALDIN,NZL
Rafael,CORONADO,LUX
Cheuk-nam,WONG,HKG
Damien,BLOKKER,RSA
Ned,MIDDLEHURST,AUS
Chanjun,LEE,KOR
Uri,AGMON,ISR
David,SHEPPARD,NZL
Jacinto,VELASCO LOZANO,MEX
Thor,VILLEGAS GARCÍA,MEX
Egor,DULUB,RUS
Nickolaie,RIVADENEIRA,ECU
Hongik,CHOI,KOR
Frederik,VIBERG CHRISTIANSEN,DEN
Pedro,AVELLAR,BRA
Kiromal,KATIBIN,INA
Aaron,PEÑARANDA,ECU
David Alejandro,SUÁREZ SILVA,MEX
Christopher,COSSER,RSA
Joaquin,SQUELLA,CHI
Alexandros,LAVDAS,GRE
Rahmad,ADI MULYONO,INA
Sergey,BESMERTNYKH,KAZ
Jaco,BURGER,RSA
ANDREY,BURZHINSKIY,KAZ
Pedro,EGG,BRA
Ratmir,GAFAROV,LTU
Thokchom Boynao,SINGH,IND
Robert,SANTHA,ROU
Janja,GARNBRET,SLO
Akiyo,NOGUCHI,JPN
Shauna,COXSEY,GBR
Ievgeniia,KAZBEKOVA,UKR
Miho,NONAKA,JPN
Nanako,KURA,JPN
Futaba,ITO,JPN
Alannah,YIP,CAN
Fanny,GIBERT,FRA
Petra,KLINGLER,SUI
YueTong,ZHANG,CHN
Lucka,RAKOVEC,SLO
Chaehyun,SEO,KOR
Kyra,CONDIE,USA
Anne-Sophie,KOLLER,SUI
Sofya,YOKOYAMA,SUI
Mia,KRAMPL,SLO
Afra,HÖNIG,GER
Elena,KRASOVSKAYA,RUS
Jain,KIM,KOR
